,review_rating,review_text,verified_purchase,total words,total characters
0,5,"As you get older, you know what you like what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling no dandruff or flakey skin. No smelly a/pits!",True,39,202
1,5,"Three gigantic marmite jars that will last probably whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it.",True,30,175
2,4,Excellent,True,1,9
3,5,A great flavour top - up for slow cooking.,True,9,42
4,5,Does what is says it does,False,6,25
5,4,Excellent item.Good for men,False,4,27
6,5,Thank you IÂm very happy,True,5,25
7,5,Beautiful,True,1,9
8,5,Always buy. Big bottles,True,4,23
9,5,Always use this product on my heavily mistreated hair it works wonders time after time,True,16,90
10,5,Great value,True,2,11
11,5,"ItÂs not one in picture, but gets 5 stars because itÂs regular one I use itÂs awesome for people with dry skin.",True,26,130
12,5,"Item as described, excellent quality, rapid delivery Great for skin irritations, redness, blemishes",True,13,99
13,5,Good body wash but not very strong smell,True,9,42
14,5,Great,True,1,5
15,5,Worth it!,True,2,9
16,5,I remember trying this at friends house years ago. Now Ive been using it for about 3-months its only one Ill buy.,False,25,123
17,5,Great,True,1,5
18,3,Not best antiperspirant out there unless you like going to work with snow drift under your arm.,True,19,101
19,5,Love this product,True,3,17
20,5,If I die eating one of these I\u2019ll die very contented man. I love \u2018em,False,16,80
21,5,"I love this range of body lotions as they aren\u2019t greasy, are easy to apply soak in quickly leave my skin feeling super soft moisturised. Great value for money scent is fresh light, great go to beauty essential in my bathroom cupboard. [This review was collected as part of promotion.]",False,58,317
22,5,"I suffer with dry sensitive skin vaseline is one of very few products that doesn't make my skin flare up itch like crazy!The first thing I noticed was beautiful fresh smell that escaped as I lifted cap, as I applied drop to my skin I instantly felt soothing relief easily moisturised into my skin absorbing effortlessly not at all greasy unlike alot of other moisturisers I've tried! I use this product every day it has improved my dry skin condition massively couldn't recommend this product enough I absolutely love it! [This review was collected as part of promotion.]",False,108,605
23,5,Absolutely love this stuff ... leaves lovely lingering fragrance that you can smell each time you open wardrobe or clothes drawer ... gets everything clean really well too Reminds me of when I was kid Mum just put me in some freshly laundered clothes ... lovely,True,50,271
24,5,Very happy with it,True,4,18
25,5,I love that I now wash my cashmere sweaters at home. Saves me lot of money compared to taking my clothes to dry-cleaners every week. Very happy with my purchase,True,32,166
26,5,So prior to receiving this I had pretty rough elbows in particular my skin feels dry. As busy mum of two I admit I sometimes neglect myself.. some of you may empathise! But this product trial gave me perfect opportunity to reconnect with myself have bit of \u201Cme time\u201D. So for 3 days after my baths / shower I smothered myself with this. I must admit first time I put this on I wasn\u2019t sure about smell. It\u2019s not offensive it\u2019s like cucumber smell (although it\u2019s aloe) but I tend to smell of perfumes all time.. however by day 3 I actually liked smell. Application: it went on nicely not too thick soaked in pretty quickly it didn\u2019t feel sticky. I always have my morning wash by 07:30 but even in evening before bedtime my skin is feeling noticibly softer my rough elbows gone. Verdict: thumbs up. Yes I will be continuing to use this thank you for fab product trial for introducing me to Vaseline Aloe! [This review was collected as part of promotion.],False,191,1039
27,5,Happy with item,True,3,15
28,5,"I really like this. The texture is almost like gel so it's really light easily absorbed into my skin, leaving it feel soft fresh, without any of weight that some thicker creams have.I would buy it again. [This review was collected as part of promotion.]",False,50,269
29,5,Smells nice,True,2,11
30,5,A great deal on treseme shampoo giving long lasting supply so you donÂt need to keep buying more very good price.,True,23,120
31,5,Great value,True,2,11
32,5,Love this comfort,True,3,17
33,1,Horrible.,False,1,9
34,5,great buy,True,3,11
35,3,"Love container, easy to pour, but am refilling with A. Nother automatic liquid in future as it is very thick gloopy (hard to be economical) it is so scented you smell like it when wearing what you washed (which some may love but I do not!) -after 3 rinses!",True,52,268
36,5,Washes sharks well,True,3,18
37,5,excellent,True,1,9
38,5,Good pleasant smelling deoderant boys will love it at christmas.,True,10,64
39,4,delivered quickly decent shampoo. only 4 star as one bottle was leaking when delivered,True,15,90
40,5,"Have used lot of make-up brands in past bought their more expensive make-up remover products, but none have ever removed mascara, eye-shadow, foundation bases etc as gently as well as Simple Cleansing Lotion. Its consistency is not runny, you have to squeeze bottle appropriately onto cotton wool, which is ideal for controlling how much is dispensed. Also great for tidying up eyeliner or mascara errors when applied sparsely on cotton wool bud. Always keep this now in my bathroom cabinet. Why pay more?",False,90,529
41,5,not sure why big jar costs more than double this size though!,False,13,65
42,5,"Got this on offer for Â£6, clothes come out very soft, smelling great. It should last long time too, its 100% genuine as well",True,27,135
43,5,"For Â£6 this is an amazing buy- lasted me months!, smelt amazing my neighbour even asked me to buy her one!",True,22,111
44,5,"Great buy, smells gorgeous",True,4,26
45,5,Texture liked.used for bath/shower,True,4,34
46,5,shared with family,True,3,18
47,5,We love it even better when itÂs on deal,True,11,47
48,5,Great product!,True,2,14
49,4,"Bought items to give as gifts, it was advertised as Dove Moisturising Deeply Nourishing Body Wash but I received Dove idratante bagnodoccia di belleza, language I cannot read. Even has less distinct fragrance.",True,35,213
50,4,"Good price nice smell, not overpowering. DoesnÂt leave white powdery mess like some anti perspirents do. Happy.",True,18,116
51,5,"Good wipes, good buy",True,4,20
52,5,Nice fragrance it seems to last on clothes.,True,10,51
53,5,"I've been Using tresemme products for years. Previously regular heat protection but after being recommended this one for colour treated hair gave it go Ive not looked back! Leaves my hair with lovely shine, ive got dyed red hair so it can be hard to keep looking healthy. Seems to do Good job with heat protection too. I only dry my hair, no straighteners or tongs but seems to keep damage away",False,78,412
54,5,So much cheaper than in Boots. Great value!!!,True,8,45
55,2,"I like blue version but this is such an overpowering, awful smell it had to be binned.",False,18,90
56,5,"I like these, I use only one in regular wash everything comes clean. I'll use two if I load 9kg wash or if I have lot of white washing just to give an extra boost as machine uses more water on these cycles. It's good value for money buying in pack of three so these are regular purchase for me.",True,67,314
57,5,Excellent value you don't hav to carry it,True,9,45
58,5,Washing,True,1,7
59,5,Lovely fresh smell,True,3,18
60,5,great item,True,2,10
61,5,WhatÂs not to like noodles that taste like spare ribs,True,10,54
62,5,"This is good deodorant if you have easily irritated skin. It's like Dove soap in that it doesn't seem to irritate or dry out skin. I've used Dove soaps for quite long time this is certainly something which they are good for, this seems to be as good as all of them. It's main selling point, beyond being an effective 24 hour deodorant, is that it is not prone to marking your clothes. It certainly seems to work as far as that goes too, though we haven't been able to test on every single colour. Good though. Recommended.",False,101,530
63,5,Great body wash. Cheap fast delivery,True,7,40
64,1,"yet to try taste but why, in this day age, start producing what was perfect in glass bottles suddenly in plastic?",False,23,121
65,1,"Not even worth one star. Bring out lot of white stuff, had high expectations but this product is total failure waste.",True,24,125
66,5,Bought this for my step dad,True,6,27
67,5,Love this on my OH. It smells so good on him but I hated it for years still do on everyone else,True,23,99
68,5,Great gift,True,2,10
69,5,This is classic you know when its Hellmans Mayo. Cap stays so much cleaner than jar. Tastes great with EVERYTHING!,False,23,124
70,5,Cool,True,1,4
71,5,Absolutely great moistures for dry skin. Can complain. ItÂs smells great of skin if you like that coca butter smell.,True,21,121
72,5,Great package buy,True,3,17
73,5,Works well truly invisible,True,5,30
74,3,Nice cost effective,True,4,23
75,5,Great,True,1,5
76,5,Does exactly what it says my kitchen sink is always getting blocked since I have put this down it has not been blocked for last 2 months,True,29,144
77,4,"This is my favourite scent from intense range, smells lovely lasts ages on my clothes. I do use more than recommended amount otherwise scent isnÂt very strong, so it definitely doesnÂt do 64 washes, probably half that.",False,41,236
78,5,I find these to be best for my laundry part of that includes only using one - not over dosing like I do with liquid or powders. smells great washes well.,False,35,167
79,5,And under 150 calories for really big portion,False,9,47
80,4,The cream is very easy to apply feels extremly cooling. It doesnt dry with any kind of sticky feeling to it. There is very little or no scent to it so fact frangrance is fairly neutral is good. The cream spread soaks in very easily [This review was collected as part of promotion.],False,59,303
